496,419,40,42
497,402,40,42
499,388,40,42
499,379,40,42
499,372,40,42
500,368,40,42
500,367,40,42
501,369,40,42
502,374,40,42
503,382,40,42
504,394,40,42
507,408,40,42
507,426,40,42
514,421,40,42
510,395,40,42
508,373,40,42
509,353,40,42
509,336,40,42
481,296,40,42
513,310,40,42
513,302,40,42
513,297,40,42
511,296,40,42
513,298,40,42
513,303,40,42
513,311,40,42
514,322,40,42
513,338,40,42
515,357,40,42
514,376,40,42
517,401,40,42
517,428,40,42
519,432,40,42
524,409,40,42
520,386,40,42
522,371,40,42
528,356,40,42
528,345,40,42
530,336,40,42
534,329,40,42
537,327,40,42
541,328,40,42
542,332,40,42
547,338,40,42
551,348,40,42
551,361,40,42
556,377,40,42
560,398,40,42
559,377,40,42
547,350,40,42
543,326,40,42
534,303,40,42
525,285,40,42
521,270,40,42
510,251,40,42
506,246,40,42
499,240,40,42
492,237,40,42
484,237,40,42
481,240,40,42
469,243,40,42
467,254,40,42
454,271,40,42
451,288,40,42
441,308,40,42
437,336,40,42
430,360,40,42
425,390,40,42
416,381,40,42
411,367,40,42
410,355,40,42
417,423,40,42
415,489,40,42
408,555,40,42
406,623,40,42
371,678,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
339,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
340,673,40,42
